Partner Name,Region,Cluster
Aruba,Other,0
Afghanistan,Other,0
Angola,Other,0
Anguila,Other,0
Albania,Other,0
Andorra,Other,2
Netherlands Antilles,Other,0
United Arab Emirates,Other,2
Argentina,Other,0
Antigua and Barbuda,Other,0
Australia,Other,2
Austria,Other,0
Burundi,Other,0
Benin,Other,2
Burkina Faso,Other,0
Bangladesh,Other,2
Bulgaria,Other,2
Bahrain,Other,0
"Bahamas, The",Other,0
Belgium-Luxembourg,Other,2
Belize,Other,0
Bermuda,Other,0
Bolivia,Other,0
Brazil,Other,0
Barbados,Other,0
Brunei,Other,2
Bhutan,Other,2
Central African Republic,Other,0
Canada,North America,2
Cocos (Keeling) Islands,Other,2
Switzerland,Other,2
Chile,Other,0
China,East Asia & Pacific,2
Cote d'Ivoire,Other,0
Cameroon,Other,0
"Congo, Rep.",Other,0
Cook Islands,Other,0
Colombia,Other,0
Comoros,Other,0
Cape Verde,Other,0
Costa Rica,Other,0
Czechoslovakia,Other,2
Cuba,Other,0
Christmas Island,Other,2
Cayman Islands,Other,0
Cyprus,Other,0
German Democratic Republic,Other,2
Germany,Europe & Central Asia,2
Djibouti,Other,0
Dominica,Other,0
Denmark,Other,0
Dominican Republic,Other,2
Algeria,Other,0
Ecuador,Other,0
"Egypt, Arab Rep.",Other,0
Western Sahara,Other,0
Spain,Other,2
Ethiopia(includes Eritrea),Other,0
Finland,Other,0
Fiji,Other,0
Falkland Island,Other,0
France,Europe & Central Asia,2
Faeroe Islands,Other,0
Gabon,Other,0
United Kingdom,Other,2
Ghana,Other,0
Gibraltar,Other,0
Guinea,Other,0
Guadeloupe,Other,0
"Gambia, The",Other,0
Guinea-Bissau,Other,0
Equatorial Guinea,Other,0
Greece,Other,2
Grenada,Other,0
Greenland,Other,0
Guatemala,Other,2
French Guiana,Other,0
Guyana,Other,0
"Hong Kong, China",East Asia & Pacific,2
Honduras,Other,0
Haiti,Other,0
Hungary,Other,2
Indonesia,Other,2
India,Other,2
British Indian Ocean Ter.,Other,0
Ireland,Other,2
"Iran, Islamic Rep.",Other,0
Iraq,Other,0
Iceland,Other,0
Israel,Other,2
Italy,Europe & Central Asia,2
Jamaica,Other,0
Jordan,Other,0
Japan,East Asia & Pacific,2
Kenya,Other,0
Cambodia,Other,0
Kiribati,Other,0
St. Kitts and Nevis,Other,0
"Korea, Rep.",East Asia & Pacific,2
Kuwait,Other,0
Lao PDR,Other,2
Lebanon,Other,0
Liberia,Other,0
Libya,Other,0
St. Lucia,Other,0
Sri Lanka,Other,2
Macao,Other,0
Morocco,Other,0
Madagascar,Other,0
Maldives,Other,0
Mexico,North America,0
Mali,Other,0
Malta,Other,0
Myanmar,Other,0
Mongolia,Other,0
Mozambique,Other,0
Mauritania,Other,0
Montserrat,Other,2
Martinique,Other,0
Mauritius,Other,0
Malawi,Other,0
Malaysia,Other,2
New Caledonia,Other,0
Niger,Other,0
Nigeria,Other,0
Nicaragua,Other,0
Netherlands,Other,2
Norway,Other,0
Nepal,Other,0
Nauru,Other,0
New Zealand,Other,2
Oman,Other,0
Pakistan,Other,2
Panama,Other,0
Pitcairn,Other,0
Peru,Other,0
Philippines,Other,2
Papua New Guinea,Other,0
Poland,Other,2
"Korea, Dem. Rep.",East Asia & Pacific,2
Portugal,Other,2
Paraguay,Other,0
French Polynesia,Other,0
Qatar,Other,0
Reunion,Other,0
Romania,Other,2
Rwanda,Other,0
Saudi Arabia,Other,0
Fm Sudan,Other,0
Senegal,Other,0
Singapore,East Asia & Pacific,2
Saint Helena,Other,0
Solomon Islands,Other,0
Sierra Leone,Other,0
El Salvador,Other,0
Somalia,Other,0
Saint Pierre and Miquelon,Other,0
Sao Tome and Principe,Other,0
Suriname,Other,0
Soviet Union,Other,0
Sweden,Other,0
Seychelles,Other,0
Syrian Arab Republic,Other,0
Turks and Caicos Isl.,Other,0
Chad,Other,0
Togo,Other,0
Thailand,Other,2
East Timor,Other,2
Tonga,Other,0
Trinidad and Tobago,Other,0
Tunisia,Other,0
Turkey,Other,2
Tuvalu,Other,0
Tanzania,Other,0
Uganda,Other,0
Uruguay,Other,0
United States,North America,2
Us Msc.Pac.I,Other,2
St. Vincent and the Grenadines,Other,0
Venezuela,Other,0
British Virgin Islands,Other,0
Vietnam,Other,2
Vanuatu,Other,0
 World,World,2
Wallis and Futura Isl.,Other,2
Samoa,Other,0
Yemen Democratic,Other,0
Yemen,Other,2
"Yugoslavia,FR(Serbia/Montenegr",Other,0
South Africa,Other,0
"Congo, Dem. Rep.",Other,0
Zambia,Other,0
Zimbabwe,Other,0
Aruba,Other,2
Afghanistan,Other,2
Angola,Other,2
Anguila,Other,2
Albania,Other,2
Andorra,Other,2
Netherlands Antilles,Other,2
